filename,tempo,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,chroma1,chroma2,chroma3,chroma4,chroma5,chroma6,chroma7,chroma8,chroma9,chroma10,chroma11,chroma12
Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug18.wav,[82.72058824],-151.31485,147.25838,-35.37178,32.52277,-7.598863,23.51025,-11.225965,10.697342,-4.0507917,0.2399437,-4.6852593,4.261305,3.5328262,0.31527278,0.44482514,0.31772143,0.26550552,0.33077008,0.4503592,0.7184207,0.53371644,0.3590779,0.29886392,0.37432298,0.3132241
Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug19.wav,[90.72580645],-151.50142,146.1926,-35.024532,32.545143,-8.50494,23.646845,-11.809864,10.815844,-4.4704227,0.5400889,-4.9280157,4.3514543,3.2588916,0.31911397,0.44550815,0.32644016,0.27154133,0.33495697,0.45097172,0.7126225,0.54083014,0.36847904,0.3071134,0.37780043,0.31887227
Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug2.wav,[86.53846154],-148.34724,147.85918,-34.9713,32.809654,-7.7593613,23.7709,-11.411406,10.759279,-4.0860543,0.4640591,-4.855309,4.2967534,3.4376516,0.32185963,0.44783852,0.3226384,0.27109542,0.33725727,0.45599544,0.71938765,0.5386237,0.36832568,0.30798215,0.38042614,0.3195209
Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug3.wav,[90.72580645],-152.88258,141.32387,-33.340782,31.641058,-6.994519,22.100582,-12.47366,11.209924,-6.80432,0.8752505,-4.9381104,6.8464556,0.904196,0.3114366,0.31016156,0.42494565,0.30602098,0.26329222,0.33979636,0.48218617,0.7084124,0.53974116,0.37029704,0.31041855,0.36811873
Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug4.wav,[100.44642857],-196.5044,130.57967,-31.126905,29.10903,-7.642058,21.367203,-10.575536,9.876361,-4.0660524,0.68264043,-4.5108385,4.0772753,2.7429047,0.28775972,0.39739478,0.2862698,0.24102964,0.29788533,0.40518224,0.635375,0.47189137,0.32176533,0.2720433,0.3368685,0.28268522
Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug5.wav,[90.72580645],-151.32591,145.99083,-34.83936,32.37503,-8.351839,23.509947,-11.686436,10.709861,-4.3805594,0.4691711,-4.8709188,4.3116155,3.2854967,0.32018432,0.44538212,0.32485548,0.27186564,0.33561158,0.45287788,0.71287996,0.53746027,0.36681113,0.30691388,0.37770396,0.31800836
Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug6.wav,[90.72580645],-152.49902,139.03496,-32.827686,31.131435,-6.0142827,21.586853,-12.6886835,11.287561,-7.3824067,1.0953132,-5.063461,7.615575,-0.07893793,0.30850166,0.3064274,0.42137465,0.29619828,0.26325303,0.34742054,0.48526895,0.70141375,0.50090176,0.34911287,0.3027717,0.37346518
Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug7.wav,[82.72058824],-150.92102,147.22124,-35.3268,32.48384,-7.5279603,23.50001,-11.195029,10.633199,-4.0374284,0.23712055,-4.6905046,4.250093,3.550537,0.31602105,0.445143,0.31770617,0.26547825,0.33074242,0.45046172,0.7186556,0.5342186,0.36002994,0.29965314,0.3747199,0.31392908
Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug8.wav,[90.72580645],-151.72725,146.4463,-35.26834,32.76155,-8.705824,23.826185,-11.972131,10.958316,-4.5890484,0.63730395,-5.001884,4.405576,3.222225,0.32150346,0.44535786,0.3232266,0.27210134,0.33626118,0.45509842,0.7133524,0.53431416,0.36514077,0.3068555,0.37793854,0.31743288
Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug9.wav,[90.72580645],-115.33647,105.952286,-4.999133,10.796661,7.9186783,10.076848,-0.7292748,2.4705884,1.4783785,-3.397086,-2.261878,3.0106266,3.4936166,0.33561736,0.4589591,0.3368432,0.28660655,0.35084942,0.46939155,0.725367,0.5454405,0.37795654,0.3203206,0.39142263,0.33133438
